trace_id,span_id,duration,process_id,operation_name,has_logs,start_time,has_warnings,is_child,is_http,is_database
342763dccfa25eadcf4b7eb7971e55dd,31905e571fed511d,140,1,22,0,1719225534052070,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,4ece15ab36e367ce,646,1,22,0,1719225534037709,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,9e8d8ac3f2454441,189,1,22,0,1719225534039123,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,cfc156f0b09cea00,161,1,22,0,1719225534055024,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,7e340e8a64065936,81,1,22,0,1719225534048265,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,9e751bedb3be8405,83,1,22,0,1719225534048112,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,bfbf896e796c9a7d,115,1,22,0,1719225534048402,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,4fe365c4168b7643,144,1,22,0,1719225534052304,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,d5ddf8d336d729b8,84,1,22,0,1719225534048596,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,a625e5d23a1358bb,126,1,22,0,1719225534052576,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,2b5bf08a418b4413,105,1,22,0,1719225534048752,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,ddea61732aa82324,88,1,22,0,1719225534052793,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,f4b1a0e219a67ffc,97,1,22,0,1719225534048990,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,3f7e8c7f23a82860,139,1,22,0,1719225534052970,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,28a401f886e8c93d,157,1,22,0,1719225534053194,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,f5544092b8f415e5,100,1,22,0,1719225534049187,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,248bbb7c1eb0429b,200,1,22,0,1719225534053482,0,1,0,1
342763dccfa25eadcf4b7eb7971e55dd,2508714738461f80,207,1,22,0,1719225534049427,0,1,0,1
